floor,fee,management_fee,deposit,gratuity,madori,menseki,years_built,floors,walking_time_from_jr_akabane,sold
10,5.0,3000.0,7.3,7.925000000000001,1,17.832,45.0,3,13.0,0
9,3.5,3000.0,7.3,7.925000000000001,9,9.882,45.0,3,13.0,0
9,5.0,5000.0,5.0,7.925000000000001,1,21.872,53.0,2,10.0,0
1,4.98,3000.0,7.3,7.925000000000001,9,11.372,7.0,2,14.0,0
1,4.98,3000.0,7.3,7.925000000000001,9,11.372,7.0,2,10.0,0
1,4.7,8000.0,4.7,7.925000000000001,1,16.512,7.0,3,12.0,0
1,5.1,8000.0,5.1,7.925000000000001,1,16.512,7.0,3,12.0,0
1,5.7,8000.0,5.7,7.925000000000001,1,16.512,7.0,3,12.0,0
9,6.5,1000.0,6.5,7.925000000000001,9,20.52,26.0,2,9.0,0
1,6.1,5000.0,6.1,7.925000000000001,1,19.82,26.0,2,9.0,0
9,6.2,5000.0,6.2,7.925000000000001,9,202.0,26.0,2,9.0,0
9,6.5,2000.0,6.5,7.925000000000001,1,19.82,26.0,2,9.0,0
1,6.0,3000.0,7.3,7.925000000000001,1,212.0,33.0,3,18.0,0
1,6.0,3000.0,7.3,7.925000000000001,1,21.452,33.0,3,18.0,0
9,5.6,7000.0,7.3,7.925000000000001,1,19.872,15.0,3,13.0,0
9,5.7,7000.0,7.3,5.7,1,19.872,15.0,3,13.0,0
10,5.6,7000.0,7.3,7.925000000000001,1,19.872,15.0,3,13.0,0
10,5.7,7000.0,7.3,7.925000000000001,1,19.872,15.0,3,13.0,0
1,6.3,3000.0,7.3,7.925000000000001,9,17.462,19.0,4,13.0,0
10,6.5,3000.0,7.3,7.925000000000001,9,17.922,19.0,4,13.0,0
10,8.7,3000.0,7.3,7.925000000000001,1,33.112,19.0,4,13.0,0
9,6.3,3500.0,7.3,7.925000000000001,9,10.962,3.0,2,17.0,1
9,6.35,3500.0,7.3,7.925000000000001,9,10.562,3.0,2,17.0,1
9,6.4,3500.0,7.3,7.925000000000001,9,10.562,3.0,2,17.0,1
9,6.35,3500.0,7.3,7.925000000000001,9,10.962,3.0,2,17.0,1
9,6.45,3500.0,7.3,7.925000000000001,9,10.562,3.0,2,17.0,1
10,6.4,5000.0,7.3,7.925000000000001,1,19.692,21.0,6,18.0,0
1,7.0,5000.0,7.3,7.0,4,26.52,33.0,3,15.0,1
1,6.7,3000.0,6.7,6.7,1,22.352,18.0,2,13.0,0
9,6.9,3000.0,7.3,7.925000000000001,9,24.222,18.0,2,13.0,0
1,6.4,7000.0,7.3,6.4,1,20.282,18.0,3,13.0,1
13,7.0,6000.0,7.0,7.0,1,21.462,18.0,6,25.0,1
13,7.0,5000.0,7.0,7.0,1,21.462,18.0,6,25.0,1
11,6.3,10000.0,7.3,6.3,1,21.462,18.0,6,25.0,1
13,6.9,8000.0,6.9,7.925000000000001,1,23.062,18.0,6,25.0,1
13,7.0,6000.0,7.0,7.0,1,21.462,18.0,6,27.0,1
11,6.3,10000.0,7.3,6.3,1,21.462,18.0,6,27.0,1
13,6.9,8000.0,6.9,7.925000000000001,1,23.062,18.0,6,27.0,1
9,7.4,3000.0,7.4,7.925000000000001,1,232.0,21.0,3,6.0,1
1,7.0,3000.0,7.0,7.925000000000001,1,232.0,21.0,3,6.0,1
10,7.7,3000.0,7.7,7.7,1,232.0,21.0,3,6.0,1
10,7.2,2000.0,7.2,7.925000000000001,1,282.0,47.0,3,7.0,1
9,7.3,2000.0,7.3,7.925000000000001,1,282.0,47.0,3,7.0,1
